L,g_int,g_mass,g,energy,mag_energy,el_energy,int_energy,mass_energy
2,0.5,1,0.2,0.12015548,0.01552078,1.56816217,-2.3085717,0.84504422
2,0.5,1,0.3,0.88195902,0.05424143,2.28792622,-2.3035267,0.84331807
2,0.5,1,0.4,1.60225229,0.14185373,2.90734658,-2.2824912,0.83554322
2,0.5,1,0.5,2.25164715,0.33259357,3.32456119,-2.2136918,0.8081842
2,0.5,1,0.6,2.77477302,0.73941326,3.33826217,-2.0338554,0.73095302
2,0.5,1,0.7,3.09178775,1.43075688,2.7914432,-1.7155627,0.58515035
2,0.5,1,0.8,3.17290061,2.13798262,1.99436374,-1.3910144,0.4315686
2,0.5,1,0.9,3.08982265,2.56200588,1.37040211,-1.16944,0.32685471
2,0.5,1,1,2.93243858,2.72009221,0.98189498,-1.0335763,0.26402766
2,0.5,1,1.1,2.75374091,2.72684917,0.74783658,-0.9453809,0.22443604
2,0.5,1,1.2,2.57728931,2.6610211,0.60165186,-0.8824904,0.19710676
2,0.5,1,1.3,2.41212285,2.56372866,0.50556891,-0.833847,0.17667233
2,0.5,1,1.4,2.26096906,2.4551693,0.43924728,-0.7939158,0.16046825
2,0.5,1,1.5,2.12393134,2.3451452,0.39146154,-0.759757,0.14708161
2,0.5,1,1.6,2.0000848,2.23834,0.35574004,-0.7296996,0.13570438
2,0.5,1,1.7,1.88816626,2.13687654,0.32817896,-0.7027292,0.12583992
2,0.5,1,1.8,1.78687031,2.04157574,0.30632365,-0.6781918,0.11716276
2,0.5,1,1.9,1.69497088,1.95259313,0.28857333,-0.655643,0.10944746
2,0.5,1,2,1.61136442,1.86974929,0.27385055,-0.6347658,0.1025304
2,0.5,1,2.1,1.53507816,1.79270476,0.26140994,-0.6153247,0.09628819
2,0.5,1,2.2,1.46526346,1.72105379,0.25072347,-0.5971386,0.0906248
2,0.5,1,2.3,1.40118336,1.65437446,0.24140917,-0.5800638,0.08546356
2,0.5,1,2.4,1.34219887,1.59225496,0.23318555,-0.5639836,0.08074194
2,0.5,1,2.5,1.28775567,1.53430666,0.22584173,-0.5488009,0.07640813
2,0.5,1,2.6,1.23737216,1.48016992,0.21921735,-0.5344337,0.07241856
2,0.5,1,2.7,1.19062895,1.4295157,0.21318878,-0.5208117,0.06873617
2,0.5,1,2.8,1.14715987,1.38204511,0.20765949,-0.5078739,0.06532918
2,0.5,1,2.9,1.106644286,1.337487714,0.20255327,-0.495566743,0.062170045
2,0.5,0,0.1,-2.0303944,0.00193546,0.79606186,-2.8283918,0
2,0.5,0,0.2,-1.2440014,0.01517262,1.56862632,-2.8278004,0
2,0.5,0,0.3,-0.4810386,0.05137473,2.29222373,-2.8246371,0
2,0.5,0,0.4,0.2446961,0.12621328,2.93202774,-2.8135449,0
2,0.5,0,0.5,0.91447512,0.26461586,3.43306908,-2.7832098,0
2,0.5,0,0.6,1.50173444,0.5037626,3.71348455,-2.7155127,0
2,0.5,0,0.7,1.97169784,0.88534473,3.67458314,-2.58823,0
2,0.5,0,0.8,2.28722476,1.41679869,3.24767425,-2.3772482,0
2,0.5,0,0.9,2.4304327,1.97553994,2.54423927,-2.0893465,0
2,0.5,0,1,2.4325253,2.35770653,1.87867466,-1.8038559,0
2,0.5,0,1.1,2.35447456,2.52021411,1.41666442,-1.582404,0
2,0.5,0,1.2,2.24333899,2.54132855,1.12489075,-1.4228803,0
2,0.5,0,1.3,2.12370588,2.49130712,0.93752215,-1.3051234,0
2,0.5,0,1.4,2.00651991,2.409311,0.81090278,-1.2136939,0
2,0.5,0,1.5,1.89618086,2.31491366,0.72054417,-1.139277,0
2,0.5,0,1.6,1.7941281,2.21771791,0.65284332,-1.0764331,0
2,0.5,0,1.7,1.70048794,2.12239935,0.59999245,-1.0219039,0
2,0.5,0,1.8,1.61482622,2.03116231,0.55731483,-0.9736509,0
2,0.5,0,1.9,1.53649591,1.94494554,0.52188766,-0.9303373,0
2,0.5,0,2,1.46479822,1.86403122,0.49181107,-0.8910441,0
2,0.5,0,2.1,1.3990555,1.78836183,0.46580544,-0.8551118,0
2,0.5,0,2.2,1.33864194,1.71770936,0.44298086,-0.8220483,0
2,0.5,0,2.3,1.28299374,1.65176704,0.42270042,-0.7914737,0
2,0.5,0,2.4,1.23160959,1.59019954,0.40449626,-0.7630862,0
2,0.5,0,2.5,1.18404679,1.53267012,0.38801659,-0.7366399,0
2,0.5,0,2.6,1.13991563,1.47885499,0.37299119,-0.7119306,0
2,0.5,0,2.7,1.09887333,1.42845036,0.35920852,-0.6887856,0
2,0.5,0,2.8,1.06061831,1.38117537,0.34650008,-0.6670571,0
2,0.5,0,2.9,1.024884872,1.336772623,0.334729518,-0.646617269,0.107295609
2,1,0,0.1,-4.8587879,0.00187036,0.79613103,-5.6567892,0
2,1,0,0.2,-4.0718802,0.0141372,1.56983748,-5.6558549,0
2,1,0,0.3,-3.3064676,0.04576748,2.29953769,-5.6517727,0
2,1,0,0.4,-2.5730055,0.1061333,2.96090802,-5.6400469,0
2,1,0,0.5,-1.8835007,0.20742201,3.52150515,-5.6124278,0
2,1,0,0.6,-1.2530684,0.36640013,3.93542698,-5.5548956,0
2,1,0,0.7,-0.7008492,0.6023353,4.143676,-5.4468605,0
2,1,0,0.8,-0.2483201,0.92428307,4.0933504,-5.2659536,0
2,1,0,0.9,0.08767188,1.30563768,3.78537197,-5.0033378,0
2,1,0,1,0.30580638,1.67371459,3.31424675,-4.682155,0
2,1,0,1.1,0.42480808,1.95286353,2.82323775,-4.3512932,0
2,1,0,1.2,0.47421933,2.11707509,2.40906365,-4.0519194,0
2,1,0,1.3,0.48132254,2.18537309,2.09510469,-3.7991552,0
2,1,0,1.4,0.46534809,2.18933933,1.86611436,-3.5901056,0
2,1,0,1.5,0.43806783,2.15496652,1.69912977,-3.4160285,0
2,1,0,1.6,0.40618885,2.09952704,1.57505404,-3.2683922,0
2,1,0,1.7,0.37337347,2.03356828,1.4803271,-3.1405219,0
2,1,0,1.8,0.34154068,1.96330592,1.4058055,-3.0275707,0
2,1,0,1.9,0.31163044,1.89233287,1.34539613,-2.9260985,0
2,1,0,2,0.28403871,1.82268397,1.2950193,-2.8336646,0
2,1,0,2.1,0.25886331,1.75547109,1.25191194,-2.7485197,0
2,1,0,2.2,0.23604315,1.69125817,1.21417657,-2.6693916,0
2,1,0,2.3,0.21543719,1.6302839,1.18049148,-2.5953382,0
2,1,0,2.4,0.19686908,1.57259484,1.14992309,-2.5256488,0
2,1,0,2.5,0.18015228,1.51812599,1.12180322,-2.4597769,0
2,1,0,2.6,0.16510366,1.46674983,1.09564755,-2.3972937,0
2,1,0,2.7,0.15155058,1.41830632,1.07110069,-2.3378564,0
2,1,0,2.8,0.13933423,1.3726212,1.04789872,-2.2811857,0
2,1,0,2.9,0.128310621,1.329517158,1.025843237,-2.227049775,0.335585957
4,1,0,0.1,-12.8078116,,,,
4,1,0,0.2,-9.661160066,,,,
4,1,0,0.3,-6.602551963,,,,
4,1,0,0.4,-3.672863549,,,,
4,1,0,0.5,-0.914824804,,,,
4,1,0,0.6,1.616095667,,,,
4,1,0,0.7,3.779155558,,,,
4,1,0,0.8,4.873491678,,,,
4,1,0,0.9,4.861078905,,,,
4,1,0,1,4.539374347,,,,
4,1,0,1.1,4.137449286,,,,
4,1,0,1.2,3.730593153,,,,
4,1,0,1.3,3.347873625,,,,
4,1,0,1.4,2.99958936,,,,
4,1,0,1.5,2.687821104,,,,
4,1,0,1.6,2.411060666,,,,
4,1,0,1.7,2.166353017,,,,
